name,num_backers,funding_target,total_raised
War is Only Half The Story - 10th Anniversary Photo Book by Sara Terry —,"""253""","$25,000",23880.0
War is Only Half The Story - 10th Anniversary Photo Book by Sara Terry —,"""253""","$25,000",23880.0
War is Only Half The Story - 10th Anniversary Photo Book by Sara Terry —,"""253""","$25,000",23880.0
Embr Wave: A Thermostat For Your Body by Embr Wave —,"""2114""","$100,000",447998.01
Embr Wave: A Thermostat For Your Body by Embr Wave —,"""2114""","$100,000",447998.01
"Tutu's Favorite Songs by George Kahumoku, Jr. by George Kahumoku Jr. —","""50""","$16,500",4932.0
"Tutu's Favorite Songs by George Kahumoku, Jr. by George Kahumoku Jr. —","""50""","$16,500",4932.0
Nihonshu: Japanese sake by Gautier Roussille —,"""23""","$2,353",1125.0
Nihonshu: Japanese sake by Gautier Roussille —,"""23""","$2,353",1125.0
Embr Wave: A Thermostat For Your Body by Embr Wave —,"""2114""","$100,000",447998.01
War is Only Half The Story - 10th Anniversary Photo Book by Sara Terry —,"""253""","$25,000",23880.0
Embr Wave: A Thermostat For Your Body by Embr Wave —,"""2114""","$100,000",447998.01
"Tutu's Favorite Songs by George Kahumoku, Jr. by George Kahumoku Jr. —","""50""","$16,500",4932.0
War is Only Half The Story - 10th Anniversary Photo Book by Sara Terry —,"""253""","$25,000",23880.0
Nihonshu: Japanese sake by Gautier Roussille —,"""23""","$2,353",1125.0
"Tutu's Favorite Songs by George Kahumoku, Jr. by George Kahumoku Jr. —","""50""","$16,500",4932.0
A Really-Truly Princess: Illustrated Children’s Novel by Amanda Kastner —,"""38""","$1,000",1013.0
Nihonshu: Japanese sake by Gautier Roussille —,"""23""","$2,353",1125.0
A Really-Truly Princess: Illustrated Children’s Novel by Amanda Kastner —,"""38""","$1,000",1013.0
7th Sea: Khitai by John Wick —,"""1296""","$50,000",103247.0
7th Sea: Khitai by John Wick —,"""1296""","$50,000",103247.0
Board Blitz - Party game with online play! by ScrewBit Games —,"""14""","$34,640",22860.0
Board Blitz - Party game with online play! by ScrewBit Games —,"""14""","$34,640",22860.0
A Really-Truly Princess: Illustrated Children’s Novel by Amanda Kastner —,"""38""","$1,000",1013.0
7th Sea: Khitai by John Wick —,"""1296""","$50,000",103247.0
A Really-Truly Princess: Illustrated Children’s Novel by Amanda Kastner —,"""38""","$1,000",1013.0
7th Sea: Khitai by John Wick —,"""1296""","$50,000",103247.0
Board Blitz - Party game with online play! by ScrewBit Games —,"""14""","$34,640",22860.0
Board Blitz - Party game with online play! by ScrewBit Games —,"""14""","$34,640",22860.0
Withco Cocktails : Fresh Ingredient Drink Mixers. by WithCo —,"""561""","$32,000",25130.0
NOTHING FANCY: DIANA KENNEDY by Honeywater Films —,"""155""","$45,000",21620.0
Lonesome No More - 2018 Programming at KVML by Kurt Vonnegut Memorial Library —,"""160""","$65,000",11971.0
"Electric Paint Lamp Kit - paint, plug and play! by Bare Conductive —","""720""","$21,903",34275.0
With Drawn Arms by Glenn Kaino Studio —,"""109""","$80,000",23883.0
"BioLite FirePit: See Fire, Not Smoke by BioLite —","""6512""","$100,000",1597461.0
Blights Out for Mayor by Blights Out —,"""150""","$12,500",8675.0
FULL BLEED: The Comics &amp; Culture Quarterly by IDW Publishing —,"""820""","$50,000",75172.0
"BioLite FirePit: See Fire, Not Smoke by BioLite —","""6512""","$100,000",1597461.0
"BioLite FirePit: See Fire, Not Smoke by BioLite —","""6512""","$100,000",1597461.0
FULL BLEED: The Comics &amp; Culture Quarterly by IDW Publishing —,"""820""","$50,000",75172.0
FULL BLEED: The Comics &amp; Culture Quarterly by IDW Publishing —,"""820""","$50,000",75172.0
"Electric Paint Lamp Kit - paint, plug and play! by Bare Conductive —","""720""","$21,903",34275.0
With Drawn Arms by Glenn Kaino Studio —,"""109""","$80,000",23883.0
With Drawn Arms by Glenn Kaino Studio —,"""109""","$80,000",23883.0
"Electric Paint Lamp Kit - paint, plug and play! by Bare Conductive —","""720""","$21,903",34275.0
"BioLite FirePit: See Fire, Not Smoke by BioLite —","""6512""","$100,000",1597461.0
Lovebox | A simple and generous way to send love messages by Lovebox —,"""1354""","$58,837",113683.0
FULL BLEED: The Comics &amp; Culture Quarterly by IDW Publishing —,"""820""","$50,000",75172.0
Lonesome No More - 2018 Programming at KVML by Kurt Vonnegut Memorial Library —,"""160""","$65,000",11971.0
Lonesome No More - 2018 Programming at KVML by Kurt Vonnegut Memorial Library —,"""160""","$65,000",11971.0
"BioLite FirePit: See Fire, Not Smoke by BioLite —","""6512""","$100,000",1597461.0
"Electric Paint Lamp Kit - paint, plug and play! by Bare Conductive —","""720""","$21,903",34275.0
Lovebox | A simple and generous way to send love messages by Lovebox —,"""1354""","$58,837",113683.0
FULL BLEED: The Comics &amp; Culture Quarterly by IDW Publishing —,"""820""","$50,000",75172.0
Lovebox | A simple and generous way to send love messages by Lovebox —,"""1354""","$58,837",113683.0
Lonesome No More - 2018 Programming at KVML by Kurt Vonnegut Memorial Library —,"""160""","$65,000",11971.0
"Electric Paint Lamp Kit - paint, plug and play! by Bare Conductive —","""720""","$21,903",34275.0
Lonesome No More - 2018 Programming at KVML by Kurt Vonnegut Memorial Library —,"""160""","$65,000",11971.0
With Drawn Arms by Glenn Kaino Studio —,"""109""","$80,000",23883.0
With Drawn Arms by Glenn Kaino Studio —,"""109""","$80,000",23883.0
Lovebox | A simple and generous way to send love messages by Lovebox —,"""1354""","$58,837",113683.0
NOTHING FANCY: DIANA KENNEDY by Honeywater Films —,"""155""","$45,000",21620.0
Lovebox | A simple and generous way to send love messages by Lovebox —,"""1354""","$58,837",113683.0
NOTHING FANCY: DIANA KENNEDY by Honeywater Films —,"""155""","$45,000",21620.0
Withco Cocktails : Fresh Ingredient Drink Mixers. by WithCo —,"""561""","$32,000",25130.0
Withco Cocktails : Fresh Ingredient Drink Mixers. by WithCo —,"""561""","$32,000",25130.0
NOTHING FANCY: DIANA KENNEDY by Honeywater Films —,"""155""","$45,000",21620.0
NOTHING FANCY: DIANA KENNEDY by Honeywater Films —,"""155""","$45,000",21620.0
Withco Cocktails : Fresh Ingredient Drink Mixers. by WithCo —,"""561""","$32,000",25130.0
Withco Cocktails : Fresh Ingredient Drink Mixers. by WithCo —,"""561""","$32,000",25130.0
The 3rd Hawaii Sketch Comedy Festival by The Hawaii Sketch Comedy Festival —,"""149""","$12,000",11300.0
Embr Wave: A Thermostat For Your Body by Embr Wave —,"""2114""","$100,000",447998.01
The 3rd Hawaii Sketch Comedy Festival by The Hawaii Sketch Comedy Festival —,"""149""","$12,000",11300.0
The 3rd Hawaii Sketch Comedy Festival by The Hawaii Sketch Comedy Festival —,"""149""","$12,000",11300.0
